"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/chartjs/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/chartjs/followersdata.php", "PHP", 0, 15, 0, 0, 0, 0, 6, 13, 34
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/index.html", "HTML", 19, 0, 0, 0, 0, 0, 1, 1, 21
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/js/Chart.min.js", "JavaScript", 0, 0, 0, 6, 0, 0, 9, 0, 15
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/js/jquery.min.js", "JavaScript", 0, 0, 0, 4, 0, 0, 1, 0, 5
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/js/linegraph.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 12, 137
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/style/graph.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 9, 57
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/graph/style/graph.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/logic/index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 11, 28
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/server/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/server/patient/getpatientbyname.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 9, 39
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/server/patient/getpatientbypid.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 9, 39
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/server/patient/getpatientbystatus.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 6, 32
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/.develop/search/style/index.css", "CSS", 0, 0, 138, 0, 0, 0, 1, 23, 162
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/index.html", "HTML", 70, 0, 0, 0, 0, 0, 23, 9, 102
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/php/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_index/logic/index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 24, 5, 34
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_index/style/index.css", "CSS", 0, 0, 117, 0, 0, 0, 1, 20, 138
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/chartjs/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/chartjs/followersdata.php", "PHP", 0, 14, 0, 0, 0, 0, 6, 14, 34
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 23
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/js/Chart.min.js", "JavaScript", 0, 0, 0, 6, 0, 0, 9, 0, 15
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/js/jquery.min.js", "JavaScript", 0, 0, 0, 4, 0, 0, 1, 0, 5
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/js/linegraph.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 13, 141
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/style/graph.css", "CSS", 0, 0, 49, 0, 0, 0, 0, 13, 62
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/style/graph.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/journal.html", "HTML", 67, 0, 0, 0, 0, 0, 2, 10, 79
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/logic/index.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/style/index.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 19, 94
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/logic/index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 6, 10, 35
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/patients.html", "HTML", 58, 0, 0, 0, 0, 0, 11, 8, 77
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/patient/getpatientbyname.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/patient/getpatientbypid.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 7, 32
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/style/patients.css", "CSS", 0, 0, 136, 0, 0, 0, 1, 24, 161
"Total", "-", 240, 205, 563, 322, 50, 1, 170, 285, 1836